Date : 2022-10-25 20:17:21
Directory : e:\ProjectCODE\PPLabs\LabCPX
Total : 62 files,  2996 codes, 117 comments, 616 blanks, all 3729 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src\main\java\com\labs\UI\impl\СonsoleUI\Platform                                                    |          2 |         53 |          0 |         15 |         68 |
| src\main\java\com\labs\core                                                                          |         32 |      1,689 |        105 |        369 |      2,163 |
| src\main\java\com\labs\core\entity                                                                   |          5 |        224 |          0 |         53 |        277 |
| src\main\java\com\labs\core\helper                                                                   |          5 |        267 |          0 |         59 |        326 |
| src\main\java\com\labs\core\service                                                                  |         22 |      1,198 |        105 |        257 |      1,560 |
| src\main\java\com\labs\core\service\impl                                                             |         10 |      1,042 |         81 |        223 |      1,346 |
| src\main\java\com\labs\core\service\module                                                           |          1 |         29 |          0 |          4 |         33 |
| src\main\resources                                                                                   |          6 |         96 |          0 |          6 |        102 |
| src\main\resources\com                                                                               |          5 |         78 |          0 |          5 |         83 |
| src\main\resources\com\labs                                                                          |          5 |         78 |          0 |          5 |         83 |
| src\main\resources\com\labs\core                                                                     |          5 |         78 |          0 |          5 |         83 |
| src\main\resources\com\labs\core\entity                                                              |          5 |         78 |          0 |          5 |         83 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\ProjectCODE\PPLabs\LabCPX\pom.xml                                                                 | XML      |        125 |          4 |          7 |        136 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\Main.java                                        | Java     |         12 |          0 |          3 |         15 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\CommandResult.java                         | Java     |         11 |          0 |          2 |         13 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\ICommand.java                              | Java     |          4 |          0 |          2 |          6 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\IObjectiveCommand.java                     | Java     |          4 |          0 |          2 |          6 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\UserCommand.java                           | Java     |         19 |          0 |          6 |         25 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\constant\SetConstantCommand.java   | Java     |         30 |          0 |          9 |         39 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateExemptionCommand.java | Java     |         30 |          0 |         10 |         40 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateIncomeCommand.java    | Java     |         34 |          0 |          9 |         43 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\create\CreateTaxCommand.java       | Java     |         34 |          0 |          9 |         43 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\identity\AuthorizeUserCommand.java | Java     |         33 |          0 |          9 |         42 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\identity\LogoutUserCommand.java    | Java     |         24 |          0 |          5 |         29 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\identity\RemoveUserCommand.java    | Java     |         30 |          0 |          9 |         39 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\remove\RemoveCommand.java          | Java     |         28 |          0 |          9 |         37 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectExemptionCommand.java | Java     |         44 |          0 |         11 |         55 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectIncomeCommand.java    | Java     |         46 |          0 |         15 |         61 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectTaxCommand.java       | Java     |         44 |          0 |         12 |         56 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectUserCommand.java      | Java     |         44 |          0 |         11 |         55 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\select\SelectorConfiguration.java  | Java     |         19 |          0 |          4 |         23 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UIAPI\command\update\UpdateCommand.java          | Java     |         30 |          0 |         10 |         40 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UI\IUserInterface.java                           | Java     |          5 |          0 |          2 |          7 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI\ConsoleUI.java                 | Java     |        508 |          8 |         70 |        586 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI\Platform\Customization.java    | Java     |         46 |          0 |         13 |         59 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\UI\impl\СonsoleUI\Platform\K32.java              | Java     |          7 |          0 |          2 |          9 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Constant.java                        | Java     |         17 |          0 |          3 |         20 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Exemption.java                       | Java     |         28 |          0 |          6 |         34 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Income.java                          | Java     |         61 |          0 |         14 |         75 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\Tax.java                             | Java     |         50 |          0 |         10 |         60 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\entity\User.java                            | Java     |         68 |          0 |         20 |         88 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\ActionEvent.java                     | Java     |         18 |          0 |          6 |         24 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\ReflectionGetter.java                | Java     |         56 |          0 |         11 |         67 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\ReflectionSetter.java                | Java     |         39 |          0 |          9 |         48 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\StringableTable.java                 | Java     |        123 |          0 |         24 |        147 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\helper\UniComparator.java                   | Java     |         31 |          0 |          9 |         40 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\DependenciesInjector.java           | Java     |         16 |          1 |          4 |         21 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\ICalculator.java                    | Java     |         12 |          1 |          3 |         16 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IConsistencyService.java            | Java     |          9 |          5 |          2 |         16 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IConstantProvider.java              | Java     |          9 |          1 |          3 |         13 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\ICreator.java                       | Java     |         11 |          1 |          2 |         14 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IEssentials.java                    | Java     |          8 |          2 |          3 |         13 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IExpressionEvaluator.java           | Java     |          9 |          4 |          3 |         16 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IIdentityService.java               | Java     |         15 |          1 |          2 |         18 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\ISelector.java                      | Java     |         20 |          3 |          2 |         25 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IValueProcesssor.java               | Java     |          9 |          1 |          3 |         13 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\IWriter.java                        | Java     |          9 |          4 |          3 |         16 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Calculator.java                | Java     |         74 |          0 |         13 |         87 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\ConsistencyService.java        | Java     |         79 |         78 |         21 |        178 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\ConstantProvider.java          | Java     |         75 |          3 |         11 |         89 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\CreatorService.java            | Java     |         71 |          0 |         12 |         83 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Essentials.java                | Java     |          0 |          0 |          1 |          1 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\ExpressionEvaluator.java       | Java     |         95 |          0 |         13 |        108 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\IdentityService.java           | Java     |        108 |          0 |         22 |        130 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Selector.java                  | Java     |        375 |          0 |        101 |        476 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\ValueProcessor.java            | Java     |         90 |          0 |         15 |        105 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\impl\Writer.java                    | Java     |         75 |          0 |         14 |         89 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\java\com\labs\core\service\module\ServiceConfigModule.java     | Java     |         29 |          0 |          4 |         33 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\Constant.hbm.xml                | XML      |         10 |          0 |          0 |         10 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\Exemption.hbm.xml               | XML      |         13 |          0 |          1 |         14 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\Income.hbm.xml                  | XML      |         18 |          0 |          1 |         19 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\Tax.hbm.xml                     | XML      |         16 |          0 |          1 |         17 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\com\labs\core\entity\User.hbm.xml                    | XML      |         21 |          0 |          2 |         23 |
| e:\ProjectCODE\PPLabs\LabCPX\src\main\resources\hibernate.cfg.xml                                    | XML      |         18 |          0 |          1 |         19 |
| Total                                                                                                |          |      2,996 |        117 |        616 |      3,729 |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
